Date,minor,Adj Close,High,Low,Open,Volume
2016-03-16,^GSPC,2027.219971,2032.02002,2010.040039,2014.2399899999998,4057020000.0
2016-03-17,^GSPC,2040.589966,2046.2399899999998,2022.160034,2026.9000239999998,4530480000.0
2016-03-18,^GSPC,2049.580078,2052.360107,2041.160034,2041.160034,6503140000.0
2016-03-21,^GSPC,2051.600098,2053.909912,2043.140015,2047.880005,3376600000.0
2016-03-22,^GSPC,2049.800049,2056.600098,2040.569946,2048.639893,3418460000.0
2016-03-23,^GSPC,2036.709961,2048.550049,2034.859985,2048.550049,3639510000.0
2016-03-24,^GSPC,2035.939941,2036.040039,2022.4899899999998,2032.47998,3407720000.0
2016-03-28,^GSPC,2037.050049,2042.6700440000002,2031.959961,2037.890015,2809090000.0
2016-03-29,^GSPC,2055.01001,2055.909912,2028.310059,2035.75,3822330000.0
2016-03-30,^GSPC,2063.949951,2072.209961,2058.27002,2058.27002,3590310000.0
2016-03-31,^GSPC,2059.73999,2067.919922,2057.459961,2063.77002,3715280000.0
2016-04-01,^GSPC,2072.780029,2075.070068,2043.97998,2056.6201170000004,3749990000.0
2016-04-04,^GSPC,2066.1298829999996,2074.02002,2062.570068,2073.189941,3485710000.0
2016-04-05,^GSPC,2045.1700440000002,2062.5,2042.560059,2062.5,4154920000.0
2016-04-06,^GSPC,2066.659912,2067.330078,2043.089966,2045.560059,3750800000.0
2016-04-07,^GSPC,2041.910034,2063.01001,2033.800049,2063.01001,3801250000.0
2016-04-08,^GSPC,2047.5999760000002,2060.6298829999996,2041.689941,2045.540039,3359530000.0
2016-04-11,^GSPC,2041.9899899999998,2062.929932,2041.880005,2050.22998,3567840000.0
2016-04-12,^GSPC,2061.719971,2065.050049,2039.7399899999998,2043.719971,4239740000.0
2016-04-13,^GSPC,2082.419922,2083.179932,2065.919922,2065.919922,4191830000.0
2016-04-14,^GSPC,2082.780029,2087.840088,2078.1298829999996,2082.889893,3765870000.0
2016-04-15,^GSPC,2080.72998,2083.219971,2076.310059,2083.100098,3701450000.0
2016-04-18,^GSPC,2094.340088,2094.659912,2073.649902,2078.830078,3316880000.0
2016-04-19,^GSPC,2100.800049,2104.050049,2091.679932,2096.050049,3896830000.0
2016-04-20,^GSPC,2102.399902,2111.050049,2096.320068,2101.52002,4184880000.0
2016-04-21,^GSPC,2091.47998,2103.780029,2088.52002,2102.090088,4175290000.0
2016-04-22,^GSPC,2091.580078,2094.320068,2081.199951,2091.48999,3790580000.0
2016-04-25,^GSPC,2087.790039,2089.3701170000004,2077.52002,2089.3701170000004,3319740000.0
2016-04-26,^GSPC,2091.699951,2096.8701170000004,2085.800049,2089.840088,3557190000.0
2016-04-27,^GSPC,2095.149902,2099.889893,2082.310059,2092.330078,4100110000.0
2016-04-28,^GSPC,2075.810059,2099.300049,2071.6201170000004,2090.929932,4309840000.0
2016-04-29,^GSPC,2065.300049,2073.850098,2052.280029,2071.820068,4704720000.0
2016-05-02,^GSPC,2081.429932,2083.419922,2066.110107,2067.169922,3841110000.0
2016-05-03,^GSPC,2063.3701170000004,2077.179932,2054.889893,2077.179932,4173390000.0
2016-05-04,^GSPC,2051.1201170000004,2060.300049,2045.550049,2060.300049,4058560000.0
2016-05-05,^GSPC,2050.6298829999996,2060.22998,2045.77002,2052.949951,4008530000.0
2016-05-06,^GSPC,2057.139893,2057.719971,2039.449951,2047.77002,3796350000.0
2016-05-09,^GSPC,2058.689941,2064.149902,2054.310059,2057.550049,3788620000.0
2016-05-10,^GSPC,2084.389893,2084.8701170000004,2062.6298829999996,2062.6298829999996,3600200000.0
2016-05-11,^GSPC,2064.459961,2083.290039,2064.459961,2083.290039,3821980000.0
2016-05-12,^GSPC,2064.110107,2073.98999,2053.1298829999996,2067.169922,3782390000.0
2016-05-13,^GSPC,2046.609985,2066.790039,2043.130005,2062.5,3579880000.0
2016-05-16,^GSPC,2066.659912,2071.8798829999996,2046.530029,2046.530029,3501360000.0
2016-05-17,^GSPC,2047.209961,2065.689941,2040.819946,2065.040039,4108960000.0
2016-05-18,^GSPC,2047.630005,2060.610107,2034.4899899999998,2044.380005,4101320000.0
2016-05-19,^GSPC,2040.040039,2044.209961,2025.910034,2044.209961,3846770000.0
2016-05-20,^GSPC,2052.320068,2058.350098,2041.880005,2041.880005,3507650000.0
2016-05-23,^GSPC,2048.040039,2055.580078,2047.2600100000002,2052.22998,3055480000.0
2016-05-24,^GSPC,2076.060059,2079.669922,2052.649902,2052.649902,3627340000.0
2016-05-25,^GSPC,2090.540039,2094.72998,2078.929932,2078.929932,3859160000.0
2016-05-26,^GSPC,2090.100098,2094.300049,2087.080078,2091.439941,3230990000.0
2016-05-27,^GSPC,2099.060059,2099.060059,2090.060059,2090.060059,3079150000.0
2016-05-31,^GSPC,2096.949951,2103.47998,2088.659912,2100.1298829999996,4514410000.0
2016-06-01,^GSPC,2099.330078,2100.969971,2085.100098,2093.939941,3525170000.0
2016-06-02,^GSPC,2105.26001,2105.26001,2088.590088,2097.709961,3632720000.0
2016-06-03,^GSPC,2099.1298829999996,2104.070068,2085.360107,2104.070068,3627780000.0
2016-06-06,^GSPC,2109.409912,2113.360107,2100.830078,2100.830078,3442020000.0
2016-06-07,^GSPC,2112.1298829999996,2119.219971,2110.179932,2110.179932,3534730000.0
2016-06-08,^GSPC,2119.1201170000004,2120.550049,2112.709961,2112.709961,3562060000.0
2016-06-09,^GSPC,2115.47998,2117.639893,2107.72998,2115.649902,3290320000.0
2016-06-10,^GSPC,2096.070068,2109.570068,2089.959961,2109.570068,3515010000.0
2016-06-13,^GSPC,2079.060059,2098.1201170000004,2078.459961,2091.75,3392030000.0
2016-06-14,^GSPC,2075.320068,2081.300049,2064.100098,2076.649902,3759770000.0
2016-06-15,^GSPC,2071.5,2085.649902,2069.800049,2077.600098,3544720000.0
2016-06-16,^GSPC,2077.98999,2079.6201170000004,2050.3701170000004,2066.360107,3628280000.0
2016-06-17,^GSPC,2071.219971,2078.199951,2062.840088,2078.199951,4952630000.0
2016-06-20,^GSPC,2083.25,2100.659912,2075.580078,2075.580078,3467440000.0
2016-06-21,^GSPC,2088.899902,2093.659912,2083.02002,2085.189941,3232880000.0
2016-06-22,^GSPC,2085.449951,2099.709961,2084.360107,2089.75,3168160000.0
2016-06-23,^GSPC,2113.320068,2113.320068,2092.800049,2092.800049,3297940000.0
2016-06-24,^GSPC,2037.410034,2103.810059,2032.569946,2103.810059,7597450000.0
2016-06-27,^GSPC,2000.540039,2031.449951,1991.680054,2031.449951,5431220000.0
2016-06-28,^GSPC,2036.089966,2036.089966,2006.6700440000002,2006.6700440000002,4385810000.0
2016-06-29,^GSPC,2070.77002,2073.1298829999996,2042.689941,2042.689941,4241740000.0
